"age","IFR","IFR_L","IFR_H","study"
"0-4",0.003,0.002,0.004,"Driscoll"
"5-9",0.001,0,0.001,"Driscoll"
"10-14",0.001,0.001,0.001,"Driscoll"
"15-19",0.003,0.002,0.003,"Driscoll"
"20-24",0.006,0.005,0.008,"Driscoll"
"25-29",0.013,0.011,0.015,"Driscoll"
"30-34",0.024,0.021,0.028,"Driscoll"
"35-39",0.04,0.034,0.047,"Driscoll"
"40-44",0.075,0.064,0.087,"Driscoll"
"45-49",0.121,0.104,0.14,"Driscoll"
"50-54",0.207,0.177,0.239,"Driscoll"
"55-59",0.323,0.277,0.373,"Driscoll"
"60-64",0.456,0.392,0.527,"Driscoll"
"65-69",1.075,0.921,1.244,"Driscoll"
"70-74",1.674,1.435,1.937,"Driscoll"
"75-79",3.203,2.744,3.705,"Driscoll"
"80+",8.292,7.105,9.593,"Driscoll"
"0-9",0.01,0,0.06,"Brazeau"
"10-14",0.01,0,0.11,"Brazeau"
"15-19",0.02,0,0.18,"Brazeau"
"20-24",0.03,0,0.3,"Brazeau"
"25-29",0.04,0,0.46,"Brazeau"
"30-34",0.06,0.01,0.71,"Brazeau"
"35-39",0.1,0.01,1.03,"Brazeau"
"40-44",0.16,0.02,1.47,"Brazeau"
"45-49",0.24,0.03,2.03,"Brazeau"
"50-54",0.38,0.05,2.74,"Brazeau"
"55-59",0.6,0.1,3.64,"Brazeau"
"60-64",0.94,0.18,4.79,"Brazeau"
"65-69",1.47,0.35,6.27,"Brazeau"
"70-74",2.31,0.65,8.21,"Brazeau"
"75-79",3.61,1.21,10.8,"Brazeau"
"80-84",5.66,2.23,14.3,"Brazeau"
"85-89",8.86,4.06,19.3,"Brazeau"
"90+",17.37,9.7,31.12,"Brazeau"
"0-9",0.001,7e-05,0.0013,"Levin"
"10-19",0.003,0.002,0.004,"Levin"
"20-29",0.011,0.009,0.013,"Levin"
"30-39",0.035,0.03,0.042,"Levin"
"40-49",0.116,0.101,0.134,"Levin"
"50-59",0.384,0.335,0.441,"Levin"
"60-69",1.27,1.09,1.49,"Levin"
"70-79",4.19,3.45,5.1,"Levin"
"80+",15.61,12.2,20,"Levin"
